Alkmaar;Hoorn;52.63777924;4.73972225;52.64472198;5.05555534
Alkmaar;Den Helder;52.63777924;4.73972225;52.95527649;4.76111126
Almelo;Hengelo;52.35805511;6.65388870;52.26166534;6.79388905
Almere Centrum;Lelystad Centrum;52.37503000;5.21764000;52.50777817;5.47277784
Amsterdam Amstel;Almere Centrum;52.34666824;4.91777802;52.37503000;5.21764000
Amsterdam Amstel;Amsterdam Centraal;52.34666824;4.91777802;52.37888718;4.90027762
Amsterdam Amstel;Amsterdam Zuid;52.34666824;4.91777802;52.33888900;4.87235600
Amsterdam Amstel;Hilversum;52.34666824;4.91777802;52.22583389;5.18194437
Amsterdam Centraal;Almere Centrum;52.37888718;4.90027762;52.37503000;5.21764000
Amsterdam Centraal;Amsterdam Sloterdijk;52.37888718;4.90027762;52.38888931;4.83777762
Amsterdam Sloterdijk;Haarlem;52.38888931;4.83777762;52.38777924;4.63833332
Amsterdam Sloterdijk;Zaandam;52.38888931;4.83777762;52.43888855;4.81361103
Amsterdam Zuid;Schiphol Airport;52.33888900;4.87235600;52.30944443;4.76194429
Amsterdam Zuid;Amsterdam Sloterdijk;52.33888900;4.87235600;52.38888931;4.83777762
Apeldoorn;Amersfoort;52.20916748;5.97027779;52.15388870;5.37055540
Apeldoorn;Zutphen;52.20916748;5.97027779;52.14527893;6.19416666
Arnhem Centraal;Ede-Wageningen;51.98500061;5.89916658;52.02777863;5.67305565
Arnhem Centraal;Dieren;51.98500061;5.89916658;52.04499817;6.10305548
Assen;Zwolle;52.99166489;6.57083321;52.50472260;6.09194422
Beverwijk;Castricum;52.47833252;4.65666676;52.54583359;4.65861130
Breda;Etten-Leur;51.59555435;4.78000021;51.57500076;4.63583326
Breda;Dordrecht;51.59555435;4.78000021;51.80722046;4.66833353
Castricum;Alkmaar;52.54583359;4.65861130;52.63777924;4.73972225
Delft;Den Haag Laan v NOI;52.00666809;4.35638905;52.07860947;4.34277773
Delft;Den Haag Centraal;52.00666809;4.35638905;52.08027649;4.32499981
Delft;Den Haag HS;52.00666809;4.35638905;52.06972122;4.32250023
Den Haag Centraal;Gouda;52.08027649;4.32499981;52.01750183;4.70444441
Den Haag Centraal;Leiden Centraal;52.08027649;4.32499981;52.16611099;4.48166657
Den Haag HS;Gouda;52.06972122;4.32250023;52.01750183;4.70444441
Den Haag HS;Leiden Centraal;52.06972122;4.32250023;52.16611099;4.48166657
Den Haag Laan v NOI;Leiden Centraal;52.07860947;4.34277773;52.16611099;4.48166657
Den Haag Laan v NOI;Gouda;52.07860947;4.34277773;52.01750183;4.70444441
Deventer;Apeldoorn;52.25749969;6.16055536;52.20916748;5.97027779
Deventer;Almelo;52.25749969;6.16055536;52.35805511;6.65388870
Deventer;Zutphen;52.25749969;6.16055536;52.14527893;6.19416666
Dordrecht;Rotterdam Centraal;51.80722046;4.66833353;51.92499924;4.46888876
Dordrecht;Rotterdam Blaak;51.80722046;4.66833353;51.92027664;4.48888874
Eindhoven;Helmond;51.44333267;5.48138905;51.47555542;5.66194439
Eindhoven;s-Hertogenbosch;51.44333267;5.48138905;51.69048000;5.29362000
Eindhoven;Tilburg;51.44333267;5.48138905;51.56055450;5.08361101
Etten-Leur;Roosendaal;51.57500076;4.63583326;51.54027939;4.45833349
Gouda;Alphen a/d Rijn;52.01750183;4.70444441;52.12444305;4.65777779
Groningen;Assen;53.21055603;6.56472206;52.99166489;6.57083321
Haarlem;Beverwijk;52.38777924;4.63833332;52.47833252;4.65666676
Heemstede-Aerdenhout;Haarlem;52.35916519;4.60666657;52.38777924;4.63833332
Heerenveen;Steenwijk;52.96138763;5.91416645;52.79151099;6.11455576
Helmond;Venlo;51.47555542;5.66194439;51.36360931;6.17277765
Hengelo;Enschede;52.26166534;6.79388905;52.22249985;6.88999987
Hilversum;Almere Centrum;52.22583389;5.18194437;52.37503000;5.21764000
Leeuwarden;Heerenveen;53.19583511;5.79222202;52.96138763;5.91416645
Leeuwarden;Groningen;53.19583511;5.79222202;53.21055603;6.56472206
Leiden Centraal;Schiphol Airport;52.16611099;4.48166657;52.30944443;4.76194429
Leiden Centraal;Alphen a/d Rijn;52.16611099;4.48166657;52.12444305;4.65777779
Leiden Centraal;Heemstede-Aerdenhout;52.16611099;4.48166657;52.35916519;4.60666657
Maastricht;Sittard;50.85027695;5.70555544;51.00166702;5.85861111
Nijmegen;Arnhem Centraal;51.84361267;5.85222244;51.98500061;5.89916658
Oss;Nijmegen;51.76555634;5.53222227;51.84361267;5.85222244
Roermond;Weert;51.19305420;5.99416685;51.24861145;5.70361090
Roosendaal;Vlissingen;51.54027939;4.45833349;51.44583511;3.59527779
Roosendaal;Dordrecht;51.54027939;4.45833349;51.80722046;4.66833353
Rotterdam Alexander;Gouda;51.95194626;4.55361128;52.01750183;4.70444441
Rotterdam Blaak;Rotterdam Alexander;51.92027664;4.48888874;51.95194626;4.55361128
Rotterdam Blaak;Schiedam Centrum;51.92027664;4.48888874;51.92124381;4.40899372
Rotterdam Centraal;Rotterdam Alexander;51.92499924;4.46888876;51.95194626;4.55361128
Rotterdam Centraal;Schiedam Centrum;51.92499924;4.46888876;51.92124381;4.40899372
Schiedam Centrum;Delft;51.92124381;4.40899372;52.00666809;4.35638905
Sittard;Heerlen;51.00166702;5.85861111;50.89083481;5.97499991
Sittard;Roermond;51.00166702;5.85861111;51.19305420;5.99416685
Steenwijk;Zwolle;52.79151099;6.11455576;52.50472260;6.09194422
Tilburg;Breda;51.56055450;5.08361101;51.59555435;4.78000021
Utrecht Centraal;Amsterdam Centraal;52.08889008;5.11027765;52.37888718;4.90027762
Utrecht Centraal;Amsterdam Amstel;52.08889008;5.11027765;52.34666824;4.91777802
Utrecht Centraal;Hilversum;52.08889008;5.11027765;52.22583389;5.18194437
Utrecht Centraal;Ede-Wageningen;52.08889008;5.11027765;52.02777863;5.67305565
Utrecht Centraal;Amersfoort;52.08889008;5.11027765;52.15388870;5.37055540
Utrecht Centraal;Gouda;52.08889008;5.11027765;52.01750183;4.70444441
Utrecht Centraal;Alphen a/d Rijn;52.08889008;5.11027765;52.12444305;4.65777779
Utrecht Centraal;Schiphol Airport;52.08889008;5.11027765;52.30944443;4.76194429
Utrecht Centraal;s-Hertogenbosch;52.08889008;5.11027765;51.69048000;5.29362000
Weert;Eindhoven;51.24861145;5.70361090;51.44333267;5.48138905
Zaandam;Hoorn;52.43888855;4.81361103;52.64472198;5.05555534
Zaandam;Castricum;52.43888855;4.81361103;52.54583359;4.65861130
Zaandam;Beverwijk;52.43888855;4.81361103;52.47833252;4.65666676
Zutphen;Dieren;52.14527893;6.19416666;52.04499817;6.10305548
Zwolle;Amersfoort;52.50472260;6.09194422;52.15388870;5.37055540
Zwolle;Deventer;52.50472260;6.09194422;52.25749969;6.16055536
Zwolle;Almelo;52.50472260;6.09194422;52.35805511;6.65388870
s-Hertogenbosch;Oss;51.69048000;5.29362000;51.76555634;5.53222227
s-Hertogenbosch;Tilburg;51.69048000;5.29362000;51.56055450;5.08361101
